Date of transaction,Entity name,Number of units,Unit type
15/01/2026,CLIMA SOLUTIONS PTY LTD,8,KACCU
15/01/2026,Tasman Environmental Markets Australia Pty Ltd,"2,515",KACCU
15/01/2026,"Climate Impact Partners, LLC","5,000",CER
15/01/2026,"Climate Impact Partners, LLC","20,000",CER
15/01/2026,"Climate Impact Partners, LLC","5,100",CER
14/01/2026,Olkola Aboriginal Corporation,"2,751",KACCU
14/01/2026,Global Environmental Markets Pty Ltd,17,CER
14/01/2026,Global Environmental Markets Pty Ltd,17,CER
14/01/2026,Global Environmental Markets Pty Ltd,17,CER
14/01/2026,Global Environmental Markets Pty Ltd,17,CER
13/01/2026,Tasman Environmental Markets Australia Pty Ltd,373,CER
12/01/2026,Tasman Environmental Markets Australia Pty Ltd,900,KACCU
12/01/2026,Macquarie Bank Limited,148,KACCU
08/01/2026,Tasman Environmental Markets Australia Pty Ltd,"3,397",KACCU
08/01/2026,LMS Energy Pty Ltd,"2,044",KACCU
07/01/2026,Tasman Environmental Markets Australia Pty Ltd,68,KACCU
07/01/2026,Tasman Environmental Markets Australia Pty Ltd,"1,080",CER
06/01/2026,Tasman Environmental Markets Australia Pty Ltd,"1,445",KACCU
06/01/2026,Tasman Environmental Markets Australia Pty Ltd,888,CER
29/12/2025,Kilter Pty Ltd,97,KACCU
27/12/2025,EKI Energy Services Limited,"7,640",CER
26/12/2025,Carbon Estate Pty Ltd,470,KACCU
24/12/2025,POINT ZERO INTERNATIONAL PTY LTD,650,KACCU
24/12/2025,CLIMA SOLUTIONS PTY LTD,174,KACCU
24/12/2025,AMPOL ENERGY (WHOLESALE TRADING) PTY LTD,"7,118",KACCU
24/12/2025,EVERCLIME PTY LTD,"1,150",KACCU
24/12/2025,carbonhalo Pty Ltd,22,KACCU
23/12/2025,CLIMA SOLUTIONS PTY LTD,336,KACCU
23/12/2025,CLIMA SOLUTIONS PTY LTD,450,KACCU
23/12/2025,Tasman Environmental Markets Australia Pty Ltd,80,KACCU
23/12/2025,VIRIDIOS CAPITAL PTY LTD,100,KACCU
23/12/2025,Tasman Environmental Markets Australia Pty Ltd,808,KACCU
23/12/2025,Tasman Environmental Markets Australia Pty Ltd,"13,030",KACCU
23/12/2025,Global Environmental Markets Pty Ltd,"190,000",CER
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,200,KACCU
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,830,KACCU
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,"2,599",KACCU
22/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"3,262",KACCU
22/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,176",KACCU
22/12/2025,CARBON NEUTRAL PTY LTD,378,KACCU
22/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,120,KACCU
22/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"10,738",KACCU
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
22/12/2025,CARBON NEUTRAL PTY LTD,258,CER
22/12/2025,CARBON NEUTRAL PTY LTD,"1,254",CER
22/12/2025,Tasman Environmental Markets Australia Pty Ltd,"1,100",CER
21/12/2025,GOLDEN SPUR RESOURCES PTY LTD,"3,995",KACCU
19/12/2025,CANOPY NATURE BASED SOLUTIONS PTY LTD,714,KACCU
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,347,KACCU
19/12/2025,Aboriginal Carbon Fund Limited,174,KACCU
19/12/2025,Terra Carbon Pty Limited,"2,131",KACCU
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,131,KACCU
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,100,KACCU
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,111,KACCU
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,6,KACCU
19/12/2025,POINT ZERO INTERNATIONAL PTY LTD,"3,215",KACCU
19/12/2025,POINT ZERO INTERNATIONAL PTY LTD,"3,000",KACCU
19/12/2025,VIRIDIOS CAPITAL PTY LTD,120,KACCU
19/12/2025,Global Environmental Markets Pty Ltd,1,CER
19/12/2025,CARBON NEUTRAL PTY LTD,"7,000",CER
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,413,CER
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,254,CER
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,"2,106",CER
19/12/2025,Tasman Environmental Markets Australia Pty Ltd,90,CER
18/12/2025,CLIMA SOLUTIONS PTY LTD,80,KACCU
18/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,127,KACCU
18/12/2025,Aboriginal Carbon Fund Limited,100,KACCU
18/12/2025,VIRGIN AUSTRALIA AIRLINES PTY LTD,443,KACCU
18/12/2025,Aboriginal Carbon Fund Limited,253,KACCU
18/12/2025,Aboriginal Carbon Fund Limited,150,KACCU
18/12/2025,REGENCO PTY LTD,50,KACCU
18/12/2025,REGENCO PTY LTD,50,KACCU
18/12/2025,MTA Energy Pty Ltd,51,KACCU
18/12/2025,Tasman Environmental Markets Australia Pty Ltd,986,KACCU
18/12/2025,Viva Energy Australia Ltd,"1,317",KACCU
17/12/2025,CARBON NEUTRAL PTY LTD,192,KACCU
17/12/2025,Tasman Environmental Markets Australia Pty Ltd,250,KACCU
17/12/2025,Tasman Environmental Markets Australia Pty Ltd,660,KACCU
17/12/2025,Kurrajong Partners Pty Ltd,"4,424",KACCU
17/12/2025,VIRGIN AUSTRALIA AIRLINES PTY LTD,333,KACCU
17/12/2025,CLIMA SOLUTIONS PTY LTD,612,KACCU
17/12/2025,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,200,KACCU
17/12/2025,VIRIDIOS CAPITAL PTY LTD,260,KACCU
17/12/2025,Virgin Australia Airlines Pty Ltd,"1,112",CER
16/12/2025,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
16/12/2025,Aboriginal Carbon Fund Limited,90,KACCU
16/12/2025,CLIMA SOLUTIONS PTY LTD,78,KACCU
16/12/2025,Enviro-Mark Solutions Limited,9,CER
15/12/2025,Tasman Environmental Markets Australia Pty Ltd,"1,700",KACCU
15/12/2025,Terra Carbon Pty Limited,"1,000",KACCU
