Company Name,Symbol,Market
Mobilia Holdings Berhad,0229,ACE Market
Mphb Capital Berhad,5237,Main Market
Mpire Global Berhad,7943,Main Market
MQ Technology Berhad,0070,ACE Market
MR D.i.y. Group (M) Berhad,5296,Main Market
MSM Malaysia Holdings Berhad,5202,Main Market
MST Golf Group Berhad,5316,Main Market
Mtag Group Berhad,0213,ACE Market
Mtouche Technology Berhad,0092,ACE Market
Muar BAN LEE Group Berhad,5152,Main Market
Muda Holdings Berhad,3883,Main Market
Mudajaya Group Berhad,5085,Main Market
Muhibbah Engineering (M) Bhd,5703,Main Market
MUI Properties Berhad,3913,Main Market
Mulpha International Berhad,3905,Main Market
Multi-usage Holdings Berhad,9539,Main Market
MY E.g. Services Berhad,0138,ACE Market
Mycron Steel Berhad,5087,Main Market
Mymbn Berhad,0280,ACE Market
Mynews Holdings Berhad,5275,Main Market
Mytech Group Berhad,7692,Main Market
N2n Connect Berhad,0108,ACE Market
Naim Holdings Berhad,5073,Main Market
Nationgate Holdings Berhad,0270,ACE Market
NCT Alliance Berhad,0056,ACE Market
Negri Sembilan OIL Palms Berhad,2038,Main Market
Nestcon Berhad,0235,ACE Market
Nestle (Malaysia) Berhad,4707,Main Market
Netx Holdings Berhad,0020,ACE Market
NEW Hoong Fatt Holdings Berhad,7060,Main Market
Nexgram Holdings Berhad,0096,ACE Market
Nextgreen Global Berhad,7241,Main Market
NI Hsin Group Berhad,7215,Main Market
Niche Capital Emas Holdings Berhad,7139,Main Market
